0.508127,0.955504,6.06724;0.239065,0.825707,0.0433809;0.10694,0.682626,0.040461;0.0982569,0.552718,0.0301797;0.132171,0.454325,0.0155977;0.2713,0.53923,-0.0590828;0.326152,0.322686,-0.125077;0.369105,0.201279,-0.155329;0.403778,0.107522,-0.167514;0.457386,0.543977,-0.113957;0.51314,0.308853,-0.177221;0.549423,0.168125,-0.19847;0.580224,0.0629352,-0.206276;0.644858,0.576737,-0.162995;0.685537,0.353782,-0.218601;0.709892,0.224838,-0.23284;0.724324,0.126389,-0.233487;0.826066,0.633592,-0.204999;0.853539,0.445668,-0.253402;0.853811,0.337251,-0.256513;0.852495,0.245374,-0.246579;
0.501086,0.933115,1.01519;0.249591,0.826386,-0.0283363;0.157562,0.672365,-0.0535949;0.152305,0.535687,-0.0784243;0.117139,0.428519,-0.107984;0.354,0.546803,-0.0978456;0.366349,0.326969,-0.186001;0.388478,0.197311,-0.236718;0.415359,0.0993963,-0.262915;0.52545,0.546713,-0.129842;0.536496,0.317625,-0.206816;0.549441,0.169165,-0.254775;0.567378,0.0578751,-0.280702;0.692674,0.57602,-0.164286;0.701859,0.353865,-0.235005;0.713973,0.213165,-0.280984;0.728177,0.106955,-0.302942;0.85327,0.626178,-0.199026;0.871127,0.448097,-0.265034;0.867117,0.333107,-0.295009;0.865956,0.236301,-0.304474;
0.58486,0.954372,1.36668;0.855181,0.824684,0.0748222;0.885561,0.672063,0.10682;0.838341,0.532312,0.134347;0.886677,0.433929,0.158174;0.699136,0.537558,-0.0224863;0.608387,0.32402,-0.0464568;0.546836,0.201399,-0.0434905;0.50108,0.104177,-0.0384954;0.51326,0.54892,-0.0640252;0.444081,0.312375,-0.126044;0.389806,0.168877,-0.141037;0.356875,0.0565573,-0.138702;0.339837,0.585099,-0.0884821;0.288585,0.372883,-0.12969;0.263959,0.240952,-0.130893;0.256427,0.138464,-0.120686;0.182684,0.647105,-0.101115;0.13936,0.481054,-0.122451;0.128381,0.379427,-0.112133;0.137454,0.291696,-0.0943003;
0.496028,0.965463,1.07752;0.203532,0.858502,-0.0605363;0.0904298,0.710878,-0.110566;0.127003,0.57185,-0.154627;0.161668,0.459731,-0.198569;0.33568,0.546653,-0.123678;0.380916,0.335314,-0.223172;0.408337,0.212382,-0.29035;0.431826,0.114895,-0.33057;0.515496,0.550282,-0.152042;0.546153,0.319483,-0.237173;0.566829,0.174772,-0.297669;0.585804,0.0619544,-0.336347;0.674786,0.581677,-0.185628;0.687135,0.361781,-0.269648;0.697681,0.227814,-0.323852;0.7009,0.123972,-0.354584;0.826017,0.633173,-0.222487;0.836077,0.465225,-0.298802;0.825649,0.361294,-0.330698;0.808664,0.274691,-0.343532;
0.563496,0.989941,1.30343;0.249028,0.866704,-0.0432148;0.108881,0.714521,-0.094845;0.118003,0.560736,-0.144221;0.111008,0.429407,-0.199247;0.306309,0.569396,-0.161662;0.312342,0.343576,-0.268916;0.318056,0.212048,-0.335386;0.325644,0.100269,-0.379644;0.49688,0.565715,-0.20164;0.483605,0.323957,-0.317192;0.47472,0.176992,-0.394447;0.464557,0.0580988,-0.450028;0.676803,0.591887,-0.240143;0.653926,0.377068,-0.341758;0.629209,0.246548,-0.395652;0.600005,0.143774,-0.431063;0.861158,0.637217,-0.279402;0.858354,0.453532,-0.365366;0.835107,0.344013,-0.400657;0.802329,0.247595,-0.422208;
0.513028,0.929474,6.3301;0.266158,0.822652,0.0166849;0.178974,0.68418,0.0125285;0.160343,0.55238,0.00635229;0.0880911,0.473701,-0.00377966;0.334766,0.542751,-0.0536517;0.358602,0.331407,-0.108681;0.397098,0.211977,-0.134089;0.442629,0.124576,-0.142609;0.511372,0.540192,-0.0835168;0.522449,0.306419,-0.12893;0.553669,0.167145,-0.147591;0.590415,0.0661186,-0.155102;0.675314,0.562648,-0.109868;0.675824,0.34523,-0.150912;0.692055,0.215886,-0.171178;0.707228,0.120569,-0.178467;0.823832,0.603983,-0.132208;0.841947,0.436726,-0.16837;0.845782,0.336273,-0.177564;0.845361,0.255875,-0.175618;
0.571469,0.963775,1.24483;0.827958,0.83583,0.0202093;0.922233,0.676142,0.00356846;0.90128,0.532081,-0.0140997;0.774684,0.449096,-0.0459314;0.783049,0.538824,-0.144419;0.693156,0.322921,-0.223897;0.643251,0.199439,-0.265557;0.600874,0.0974808,-0.288992;0.592195,0.547361,-0.196586;0.523514,0.31132,-0.277651;0.472413,0.164708,-0.323245;0.433792,0.052867,-0.352732;0.391924,0.584068,-0.23485;0.342338,0.364325,-0.294576;0.311577,0.222739,-0.331407;0.294159,0.113804,-0.357223;0.196674,0.645509,-0.265836;0.158951,0.471105,-0.319603;0.137818,0.360609,-0.334861;0.122798,0.264398,-0.340126;
0.422518,0.948661,7.75425;0.183849,0.80353,-0.00380404;0.0969464,0.640314,-0.0299147;0.122737,0.493777,-0.0550458;0.182607,0.383991,-0.0801765;0.287207,0.556587,-0.108288;0.373682,0.322706,-0.182326;0.436322,0.19339,-0.206367;0.492362,0.102204,-0.210027;0.486866,0.575016,-0.138424;0.552446,0.313628,-0.209798;0.60503,0.165877,-0.232162;0.649901,0.0604685,-0.236712;0.664971,0.607469,-0.164378;0.712995,0.365243,-0.225911;0.747535,0.219741,-0.24678;0.771988,0.111636,-0.250103;0.819961,0.654565,-0.186427;0.872552,0.467397,-0.235849;0.894622,0.35191,-0.244271;0.910544,0.256766,-0.23763;
0.48289,0.964302,1.25455;0.771266,0.858309,0.044527;0.896024,0.73103,0.0680499;0.891006,0.601568,0.0881367;0.81257,0.516532,0.109073;0.670737,0.544722,0.0120806;0.643721,0.358595,-0.000576369;0.624707,0.254033,-0.00860128;0.605444,0.166775,-0.0136381;0.487822,0.527157,-0.0217189;0.465089,0.301713,-0.0652502;0.448924,0.167374,-0.0881894;0.447333,0.0602292,-0.0962898;0.313908,0.541015,-0.0468105;0.299675,0.334997,-0.0746089;0.294564,0.209119,-0.0869152;0.304085,0.106921,-0.0888179;0.156354,0.586618,-0.0651851;0.135421,0.417309,-0.0652876;0.137209,0.32114,-0.0470817;0.159564,0.23909,-0.0290329;
0.536357,0.935159,8.84329;0.307205,0.867571,-0.0320364;0.168779,0.754407,-0.0729252;0.120939,0.644231,-0.116766;0.193684,0.591643,-0.16076;0.368932,0.534984,-0.0556829;0.414067,0.335415,-0.117606;0.452142,0.21797,-0.160161;0.484362,0.131761,-0.18652;0.517395,0.516379,-0.0796308;0.555681,0.303465,-0.125403;0.590297,0.175256,-0.156687;0.621941,0.0828173,-0.175933;0.667958,0.531844,-0.109563;0.691209,0.324522,-0.150628;0.713811,0.201728,-0.179416;0.73024,0.113041,-0.193726;0.820192,0.577923,-0.142726;0.855726,0.401082,-0.177292;0.864203,0.301809,-0.189406;0.865292,0.221533,-0.189724;
